City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,73.96,41,0,2.98,clear sky
1,Quang Ngai,VN,15.1167,108.8,68.72,94,100,6.24,overcast clouds
2,Saint-Augustin,CA,51.226,-58.6502,-2.96,86,100,7.9,overcast clouds
3,Norman Wells,CA,65.282,-126.8329,-12.96,64,75,21.85,broken clouds
4,Jasper,US,37.2001,-94.3502,29.01,50,0,1.99,clear sky
5,Kapaa,US,22.0752,-159.319,80.47,69,0,1.99,clear sky
6,Ponta Do Sol,PT,32.6667,-17.1,65.71,66,100,2.46,overcast clouds
7,Maroantsetra,MG,-15.4333,49.7333,76.66,81,100,6.82,overcast clouds
8,Nikolskoye,RU,59.7035,30.7861,19.29,90,74,11.61,broken clouds
9,Souillac,MU,-20.5167,57.5167,79.36,94,75,11.5,light rain
10,Jimenez,MX,28.3333,-105.4,45.34,20,0,10.18,clear sky
11,Rikitea,PF,-23.1203,-134.9692,78.55,71,10,7.87,light rain
12,Tuatapere,NZ,-46.1333,167.6833,54.07,58,96,4.18,overcast clouds
13,Kidal,ML,18.4411,1.4078,61.61,15,0,10.94,clear sky
14,Bredasdorp,ZA,-34.5322,20.0403,67.32,60,27,11.5,scattered clouds
15,Merrill,US,45.1805,-89.6835,9.03,74,40,0.0,scattered clouds
16,Kaberamaido,UG,1.7389,33.1594,73.51,45,100,4.32,overcast clouds
17,Kahului,US,20.8947,-156.47,83.46,69,20,11.5,few clouds
18,Bethel,US,41.3712,-73.414,34.16,87,100,8.05,light rain
19,Fortuna,US,40.5982,-124.1573,61.41,81,20,1.99,few clouds
20,Kargasok,RU,59.0556,80.8572,22.5,88,100,12.37,overcast clouds
21,Atuona,PF,-9.8,-139.0333,78.66,76,23,16.62,light rain
22,Tiksi,RU,71.6872,128.8694,-20.6,98,100,7.05,overcast clouds
23,Beringovskiy,RU,63.05,179.3167,-8.88,87,92,11.74,overcast clouds
24,Avarua,CK,-21.2078,-159.775,84.25,74,75,14.97,broken clouds
25,Vigrestad,NO,58.5667,5.7,38.88,67,100,25.46,overcast clouds
26,New Norfolk,AU,-42.7826,147.0587,66.65,62,38,1.01,scattered clouds
27,Port Lincoln,AU,-34.7333,135.8667,68.22,73,89,13.33,overcast clouds
28,Caravelas,BR,-17.7125,-39.2481,77.09,88,100,8.12,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,53.26,58,0,12.66,clear sky
30,Am Timan,TD,11.0297,20.2827,73.63,17,11,6.73,few clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,77.56,89,83,5.99,broken clouds
32,Port Hardy,CA,50.6996,-127.4199,44.78,93,100,5.75,mist
33,Qaanaaq,GL,77.484,-69.3632,-0.72,69,100,7.67,overcast clouds
34,Saldanha,ZA,-33.0117,17.9442,60.85,70,0,15.61,clear sky
35,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,9.22,light snow
36,Nanortalik,GL,60.1432,-45.2371,10.74,73,100,39.01,overcast clouds
37,Alexandria,EG,31.2156,29.9553,56.79,53,98,19.55,overcast clouds
38,Kenai,US,60.5544,-151.2583,30.02,91,100,0.0,overcast clouds
39,Naze,JP,28.3667,129.4833,54.52,60,80,17.27,broken clouds
40,Punta Arenas,CL,-53.15,-70.9167,53.71,58,0,5.75,clear sky
41,Yellowknife,CA,62.456,-114.3525,-24.59,80,40,3.44,scattered clouds
42,Portland,US,45.5234,-122.6762,51.08,87,100,1.99,overcast clouds
43,East London,ZA,-33.0153,27.9116,68.88,83,100,7.85,light rain
44,San Quintin,MX,30.4833,-115.95,61.74,40,1,10.47,clear sky
45,Bengkulu,ID,-3.8004,102.2655,72.9,95,100,4.81,overcast clouds
46,Albany,US,42.6001,-73.9662,22.48,87,100,1.01,snow
47,Kaitangata,NZ,-46.2817,169.8464,56.68,49,84,4.85,broken clouds
48,Luderitz,NA,-26.6481,15.1594,67.14,74,16,7.94,few clouds
